com_result_pool_s2,com_condi,com_result_pool,n,com_choice_raw,feedback_raw,key_pressed.keys_raw,key_pressed.rt_mean,key_pressed.rt_raw,key_pressed.rt_std,sub_choice_raw,order
com_result_pool_s2,com_condi,com_result_pool,n,com_choice_raw,feedback_raw,key_pressed.keys_raw,key_pressed.rt_mean,key_pressed.rt_raw,key_pressed.rt_std,sub_choice_raw,order
1,0,2,1.0,'Black card','Win','p',1.35332393646,1.3533239364624023,0.0,'Black card',0.0
2,1,1,1.0,'Red card','Loss','q',0.59757900238,0.5975790023803711,0.0,'Black card',1.0
2,2,1,1.0,'Red card','Win','q',0.60604596138,0.6060459613800049,0.0,'Red card',2.0
1,3,2,1.0,'Black card','Loss','p',0.450187206268,0.45018720626831055,0.0,'Red card',3.0
2,4,1,1.0,'Red card','Loss','q',0.599977970123,0.599977970123291,0.0,'Black card',4.0
1,5,2,1.0,'Black card','Loss','p',0.463188886642,0.46318888664245605,0.0,'Red card',5.0
2,6,1,1.0,'Red card','Win','q',0.599725008011,0.5997250080108643,0.0,'Red card',6.0
1,7,2,1.0,'Black card','Loss','p',0.451942205429,0.45194220542907715,0.0,'Red card',7.0
1,8,2,1.0,'Black card','Win','q',0.450767993927,0.45076799392700195,0.0,'Black card',8.0
1,9,2,1.0,'Black card','Win','p',0.450030088425,0.4500300884246826,0.0,'Black card',9.0
1,10,2,1.0,'Black card','Loss','p',0.450366020203,0.4503660202026367,0.0,'Red card',10.0
1,11,2,1.0,'Black card','Loss','q',0.591937065125,0.5919370651245117,0.0,'Red card',11.0
2,12,1,1.0,'Red card','Win','p',0.736541986465,0.7365419864654541,0.0,'Red card',12.0
1,13,2,1.0,'Black card','Loss','q',0.449657201767,0.4496572017669678,0.0,'Red card',13.0
1,14,2,1.0,'Black card','Loss','p',0.443691015244,0.4436910152435303,0.0,'Red card',14.0
2,15,1,1.0,'Red card','Win','p',0.452637910843,0.4526379108428955,0.0,'Red card',15.0
1,16,2,1.0,'Black card','Loss','p',0.601078987122,0.601078987121582,0.0,'Red card',16.0
2,17,1,1.0,'Red card','Win','p',0.454251050949,0.4542510509490967,0.0,'Red card',17.0
1,18,2,1.0,'Black card','Loss','p',0.451631069183,0.4516310691833496,0.0,'Red card',18.0
1,19,2,1.0,'Black card','Loss','p',0.60929107666,0.6092910766601562,0.0,'Red card',19.0
1,20,2,1.0,'Black card','Win','q',0.451374053955,0.4513740539550781,0.0,'Black card',20.0
1,21,2,1.0,'Black card','Win','q',0.75337100029,0.753371000289917,0.0,'Black card',21.0
2,22,1,1.0,'Red card','Win','p',0.599917173386,0.5999171733856201,0.0,'Red card',22.0
2,23,1,1.0,'Red card','Win','p',0.598809957504,0.5988099575042725,0.0,'Red card',23.0
1,24,2,1.0,'Black card','Win','q',0.758112192154,0.7581121921539307,0.0,'Black card',24.0
2,25,1,1.0,'Red card','Win','p',0.597239971161,0.5972399711608887,0.0,'Red card',25.0
2,26,1,1.0,'Red card','Loss','q',0.456381797791,0.45638179779052734,0.0,'Black card',26.0
2,27,1,1.0,'Red card','Win','p',0.454919099808,0.45491909980773926,0.0,'Red card',27.0
1,28,2,1.0,'Black card','Loss','q',0.45943403244,0.45943403244018555,0.0,'Red card',28.0
2,29,1,1.0,'Red card','Loss','p',0.448650121689,0.4486501216888428,0.0,'Black card',29.0
2,30,1,1.0,'Red card','Loss','q',0.301800012589,0.301800012588501,0.0,'Black card',30.0
2,31,1,1.0,'Red card','Loss','q',0.459093093872,0.4590930938720703,0.0,'Black card',31.0
2,32,1,1.0,'Red card','Loss','p',0.456216096878,0.45621609687805176,0.0,'Black card',32.0
2,33,1,1.0,'Red card','Loss','p',0.616209030151,0.6162090301513672,0.0,'Black card',33.0
2,34,1,1.0,'Red card','Loss','q',0.765106916428,0.7651069164276123,0.0,'Black card',34.0
1,35,2,1.0,'Black card','Win','p',0.460774898529,0.46077489852905273,0.0,'Black card',35.0
1,36,2,1.0,'Black card','Loss','p',0.599231004715,0.5992310047149658,0.0,'Red card',36.0
2,37,1,1.0,'Red card','Loss','p',0.918027162552,0.9180271625518799,0.0,'Black card',37.0
